language1,feature,language2,geo,unigram_cosine
Afrikaans,44,Acehnese,51.61879502661797,46.52640852207443
Alemannic,42,Acehnese,60.81118318204309,27.801473521828214
Amharic,38,Acehnese,6.363961030678928,12.706397691328013
Armenian,38,Acehnese,38.41946844451623,-24.83183833140891
Assamese,45,Acehnese,28.991378028648448,30.78585828989989
Asturian,43,Acehnese,53.386561979584336,36.20951746645228
Bashkir,40,Acehnese,67.17514421272202,-13.778432440829171
Basque,40,Acehnese,53.033008588991066,-19.68884014595063
Bavarian,36,Acehnese,61.518289963229634,55.03292950571941
Belarusian,53,Acehnese,68.58935777509511,27.894735167719958
Bengali,33,Acehnese,26.16295090390226,25.88818444433434
Bhojpuri,39,Acehnese,28.991378028648448,52.93612052806367
Bosnian,44,Acehnese,53.033008588991066,43.80205061381181
Breton,37,Acehnese,60.10407640085654,65.80177323115318
Bulgarian,42,Acehnese,52.32590180780452,64.55206025622925
Burmese,41,Acehnese,21.920310216782973,55.17691519163173
Catalan,39,Acehnese,51.2652416360247,32.50147516063597
Chuvash,34,Acehnese,70.71067811865476,-19.611941347318993
Croatian,43,Acehnese,54.44722215136416,37.19898678325262
Czech,44,Acehnese,62.932503525602726,41.09593539483673
Danish,35,Acehnese,71.4177848998413,46.54669742327151
Divehi,39,Acehnese,1.8856180831594123,62.58374858200782
Dutch,41,Acehnese,63.99316369738255,42.6458285021782
Emilian-Romagnol,41,Acehnese,55.154328932550705,15.438978530105793
Erzya,38,Acehnese,67.17514421272202,148.7700248055112
Estonian,48,Acehnese,75.66042558696059,39.99636868897229
Faroese,40,Acehnese,79.90306627407988,36.996185661080006
Finnish,40,Acehnese,79.90306627407988,43.73303461355499
Gagauz,36,Acehnese,57.74705379685424,7.290291460053695
Galician,41,Acehnese,53.033008588991066,28.373604385373255
Georgian,30,Acehnese,51.61879502661797,23.75447760040261
German,48,Acehnese,48.79036790187178,39.182844929356726
Gilaki,38,Acehnese,45.01913173549638,95.12516728731295
Greek,47,Acehnese,41.36574669941303,30.326075710240072
Gujarati,39,Acehnese,24.748737341529164,-30.322040757932744
Hakka,35,Acehnese,27.577164466275352,83.22120063705327
Hausa,44,Acehnese,9.192388155425117,45.2235461870573
Hebrew,39,Acehnese,37.123106012293746,25.049854397281493
Hindi,40,Acehnese,27.577164466275352,16.931568122866505
Hungarian,47,Acehnese,58.68986283848344,23.1458430208478
Icelandic,44,Acehnese,84.14570696119915,53.90816026814848
Indonesian,52,Acehnese,16.499158227690824,56.95206698902399
Irish,40,Acehnese,66.46803743153546,29.612192719509586
Japanese,36,Acehnese,44.54772721475249,9.429090475533114
Javanese,45,Acehnese,17.67766952966369,139.29725635138234
Kabiye,52,Acehnese,5.892556509892611,18.64520140265904
Kabyle,49,Acehnese,43.840620433565945,54.28433672780292
Kannada,43,Acehnese,12.020815280171307,45.8888672704898
Kapampangan,62,Acehnese,13.906433363288295,83.30181901965837
Karachay-Balkar,41,Acehnese,53.74011537017761,25.5532536017285
Kazakh,41,Acehnese,62.932503525602726,-20.539797902203656
Khmer,57,Acehnese,9.899494936611665,21.52150703936897
Kirghiz,40,Acehnese,59.750523010263265,-10.33120393220382
Korean,34,Acehnese,45.254833995939045,-20.51408580673339
Ladino,42,Acehnese,48.79036790187178,33.808736076154275
Lao,52,Acehnese,17.67766952966369,-22.66409151154871
Latvian,41,Acehnese,72.8319984622144,37.86813269322684
Lezgian,33,Acehnese,51.147390505874085,-16.342555882235363
Lithuanian,51,Acehnese,70.0035713374682,49.523855726912885
Luganda,46,Acehnese,7.0710678118654755,12.49125780369626
Luxembourgish,43,Acehnese,62.69680126516007,4.312851552307871
Macedonian,35,Acehnese,51.147390505874085,44.13243191749976
Maithili,38,Acehnese,28.991378028648448,16.135689371074236
Malayalam,40,Acehnese,6.363961030678928,-1.6298214933230553
Maltese,41,Acehnese,43.01566252222879,46.41546480983683
Manx,38,Acehnese,68.82506003553777,45.10284935543587
Maori,44,Acehnese,64.34671708797582,49.12126005524004
Marathi,41,Acehnese,19.091883092036785,-15.654928739274762
Mazandarani,40,Acehnese,43.840620433565945,51.53911966742881
Mingrelian,45,Acehnese,52.32590180780452,13.216957814960407
Nahuatl,39,Acehnese,19.091883092036785,44.478378081912005
Neapolitan,43,Acehnese,50.08673033409426,129.79620431105064
Nepali,41,Acehnese,31.81980515339464,69.51858152335694
Occitan,44,Acehnese,54.44722215136416,31.518511326379993
Ossetian,40,Acehnese,53.033008588991066,52.88407929728494
Pangasinan,37,Acehnese,14.73139127476688,130.49578251058793
