wals.code,latitude,longitude,1A,2A,3A,4A,5A,6A,7A,8A,9A,10A,11A,12A,13A,14A,15A,16A,17A,18A,19A,20A,21A,22A,23A,24A,25A,26A,27A,28A,29A,30A,31A,32A,33A,34A,35A,36A,37A,38A,39A,40A,41A,42A,43A,44A,45A,46A,47A,48A,49A,50A,51A,52A,53A,54A,55A,56A,57A,58A,59A,60A,61A,62A,63A,64A,65A,66A,67A,68A,69A,70A,71A,72A,73A,74A,75A,76A,77A,78A,79A,80A,81A,82A,83A,84A,85A,86A,87A,88A,89A,90A,91A,92A,93A,94A,95A,96A,97A,98A,99A,100A,101A,102A,103A,104A,105A,106A,107A,108A,109A,110A,111A,112A,113A,114A,115A,116A,117A,118A,119A,120A,121A,122A,123A,124A,125A,126A,127A,128A,129A,130A,131A,132A,133A,134A,135A,136A,137A,138A,139A,140A,141A,142A,143A,144A,glottocode,language
aar,6,36.5833333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,NA,NA,NA,No plural,NA,NA,NA,Definite affix,"No indefinite, but definite article",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case suffixes,NA,NA,NA,NA,NA,No possessive affixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SV,OV,NA,Postpositions,Genitive-Noun,Noun-Adjective,Noun-Demonstrative,Noun-Numeral,Noun-Relative clause,NA,No question particle,NA,NA,OV and Postpositions,OV and NRel,OV and NAdj,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,NA,Interrogative verb morphology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,[V-Neg],MorphNeg,aari1239,Aari
aba,-4,141.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,Postpositions,Genitive-Noun,NA,Noun-Demonstrative,Noun-Numeral,NA,NA,NA,NA,NA,OV and Postpositions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,VNeg,SOVNeg,abau1245,Abau
abb,13.8333333333,20.8333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Second singular and second plural,Special imperative + normal negative,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,chad1249,Chadian Arabic
abd,5.66666666667,-4.58333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,4.5-5.5,Green/blue,Red/yellow,NA,NA,NA,NA,NA,NA,NA,NA,NA,abid1235,Abidji
abe,33.9166666667,35.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No fixed stress,Right-oriented: One of the last three,Long vowel or coda consonant,Trochaic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,nort3139,North Levantine Arabic
abh,26,50.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Logical meanings,NA,NA,baha1259,Baharna Arabic
abi,-29,-61,Moderately small,Average (5-6),Average,No voicing contrast,Other,Uvular stops and continuants,No glottalized consonants,"/l/, no obstruent laterals",No velar nasal,Contrast absent,None,Complex,NA,NA,NA,NA,NA,All present,None,Exclusively concatenative,No case,NA,NA,NA,NA,Strongly suffixing,NA,No case marking,Syncretic,NA,NA,NA,Plural suffix,NA,Person-number stem,NA,NA,NA,No inclusive/exclusive,'We' the same as 'I',NA,NA,NA,No gender distinctions,NA,NA,NA,No person marking,No morphological case-marking,No case-marking,No case affixes or adpositional clitics,NA,NA,NA,NA,NA,Prefixes and suffixes,NA,NA,NA,NA,NA,NA,NA,No grammatical marking,No past tense,No inflectional future,No perfect,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,No grammatical evidentials,No grammatical evidentials,NA,NA,SVO,SV,VO,VOX,Prepositions,No dominant order,No dominant order,Demonstrative-Noun,NA,Noun-Relative clause,Degree word-Adjective,NA,Initial interrogative phrase,Initial subordinator word,VO and Prepositions,VO and NRel,Other,Neutral,Neutral,Accusative,NA,Both the A and P arguments,Zero in some 3sg forms,A precedes P,NA,NA,Absent,NA,NA,NA,Morphological but no compound,Negative particle,Both,A/Cat,NA,NA,NA,NA,NA,NA,Conjoined,NA,NA,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,Other,abip1241,Abipon
abk,43.0833333333,41,Large,Small (2-4),High,In both plosives and fricatives,None missing in /p t k b d g/,Uvular stops only,Ejectives only,"/l/, no obstruent laterals",No velar nasal,Contrast absent,None,Complex,No tones,No fixed stress,Not predictable,Lexical stress,NA,All present,Pharyngeals,Exclusively concatenative,No case,10-11 categories per word,Head marking,Head marking,Head-marking,Equal prefixing and suffixing,Productive full and partial reduplication,No case marking,Not syncretic,Three,Sex-based,Semantic,Plural suffix,"All nouns, always obligatory",Person-number stem,Unique affixal associative plural,Definite word distinct from demonstrative,Indefinite word same as 'one',Inclusive/exclusive,No inclusive/exclusive,Two-way contrast,Identical,NA,In 3rd person + 1st and/or 2nd person,NA,Special,Differentiated,Pronouns and nouns,2 cases,Symmetrical,No case affixes or adpositional clitics,Differentiation,"First/one-th, two-th, three-th",Marked by mixed or other strategies,Absent,NA,Possessive prefixes,Absent,No possessive classification,Highly differentiated,Without marking,Ergative-Possessive,'And' different from 'with',Identity,Grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,Tense-aspect suffixes,Second singular and second plural,Special imperative + normal negative,Neither type of system,Inflectional optative present,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,Indirect only,Verbal affix or clitic,Tense,None,SOV,SV,OV,XOV,Postpositions,Genitive-Noun,Noun-Adjective,Demonstrative-Noun,No dominant order,Relative clause-Noun,Degree word-Adjective,No question particle,Not initial interrogative phrase,Subordinating suffix,OV and Postpositions,OV and RelN,OV and NAdj,Neutral,Neutral,Ergative,Subject affixes on verb,Both the A and P arguments,No zero realization,P precedes A,Indirect-object construction,Distinct from reflexive,Absent,No antipassive,Benefactive and other; only transitive,Purposive but no sequential,Morphological but no compound,Negative affix,Both,A/Cat,Predicate negation also present,Interrogative verb morphology,'Have',Verbal encoding,Different,Impossible,NA,Gap,Gap,Subject is expressed overtly,Balanced/deranked,Deranked,Deranked,Balanced/deranked,Different,Different,Hybrid vigesimal-decimal,NA,NA,NA,NA,No M-T pronouns,No N-M pronouns,NA,NA,NA,NA,NA,Type 3 / Type 4,MorphNeg,abkh1244,Abkhaz
abm,32.3333333333,-87.4166666667,Small,Small (2-4),Moderately high,In plosives alone,Other,None,No glottalized consonants,/l/ and lateral obstruent,No velar nasal,NA,None,NA,NA,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,NA,Productive full and partial reduplication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrogative-based,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,'And' different from 'with',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Indirect only,Verbal affix or clitic,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Locational,Verbal encoding,Different,Possible,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,Decimal,NA,NA,NA,NA,NA,NA,Others,NA,NA,NA,NA,NA,NA,alab1237,Alabama
abn,-28.25,136.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,NA,NA,NA,None,No gender,No gender,Plural suffix,NA,Person-number stem,NA,NA,NA,NA,NA,Three-way contrast,Identical,NA,No gender distinctions,NA,NA,NA,No adpositions,NA,NA,Case suffixes,NA,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,None,None,SOV,SV,OV,NA,NA,No dominant order,Noun-Adjective,NA,NA,NA,NA,NA,NA,NA,NA,NA,OV and NAdj,NA,NA,Neutral,NA,No person marking,No person marking,A and P do not or do not both occur on the verb,NA,NA,Absent,NA,NA,NA,NA,Negative particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NegV,Other,arab1267,Arabana
