wals_code,latitude,longitude,x1a,x2a,x3a,x4a,x5a,x6a,x7a,x8a,x9a,x10a,x11a,x12a,x13a,x14a,x15a,x16a,x17a,x18a,x19a,x20a,x21a,x22a,x23a,x24a,x25a,x26a,x27a,x28a,x29a,x30a,x31a,x32a,x33a,x34a,x35a,x36a,x37a,x38a,x39a,x40a,x41a,x42a,x43a,x44a,x45a,x46a,x47a,x48a,x49a,x50a,x51a,x52a,x53a,x54a,x55a,x56a,x57a,x58a,x59a,x60a,x61a,x62a,x63a,x64a,x65a,x66a,x67a,x68a,x69a,x70a,x71a,x72a,x73a,x74a,x75a,x76a,x77a,x78a,x79a,x80a,x81a,x82a,x83a,x84a,x85a,x86a,x87a,x88a,x89a,x90a,x91a,x92a,x93a,x94a,x95a,x96a,x97a,x98a,x99a,x100a,x101a,x102a,x103a,x104a,x105a,x106a,x107a,x108a,x109a,x110a,x111a,x112a,x113a,x114a,x115a,x116a,x117a,x118a,x119a,x120a,x121a,x122a,x123a,x124a,x125a,x126a,x127a,x128a,x129a,x130a,x131a,x132a,x133a,x134a,x135a,x136a,x137a,x138a,x139a,x140a,x141a,x142a,x143a,x144a,iso,language,wiki_code
ace,5.5,95.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ultimate,Fixed stress (no weight-sensitivity),Prominence,Trochaic,NA,NA,NA,NA,NA,Head marking,Head marking,Head-marking,Little affixation,NA,NA,NA,NA,NA,NA,No plural,No nominal plural,NA,NA,No definite or indefinite article,No definite or indefinite article,NA,NA,Three-way contrast,Identical,NA,No gender distinctions,NA,Interrogative-based,NA,No person marking,NA,NA,No case affixes or adpositional clitics,NA,NA,NA,NA,NA,No possessive affixes,NA,NA,NA,NA,NA,'And' identical to 'with',Identity,NA,NA,NA,NA,No tense-aspect inflection,No second-person imperatives,Normal imperative + special negative,NA,NA,Verbal constructions,Verbal constructions,Overlap for either possibility or necessity,NA,NA,NA,NA,No dominant order,No dominant order,No dominant order,No dominant order,Prepositions,Noun-Genitive,Noun-Adjective,Noun-Demonstrative,Numeral-Noun,Noun-Relative clause,No dominant order,In either of two positions,Mixed,Initial subordinator word,Other,Other,Other,NA,NA,Active,NA,Both the A and P arguments,Zero in all 3rd person forms,A precedes P,Mixed,NA,Absent,NA,NA,NA,Morphological but no compound,NA,NA,NA,Predicate negation also present,Question particle,Topic,Verbal encoding,Different,Possible,NA,Gap,Gap,Subject is left implicit,Balanced,Balanced,Balanced,Balanced,NA,NA,NA,NA,NA,NA,NA,No M-T pronouns,No N-M pronouns,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NegV,NA,ace,Acehnese,ace
afr,-31,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unique periphrastic associative plural,NA,NA,NA,NA,Two-way contrast,Identical,NA,NA,NA,NA,Identical,NA,NA,NA,NA,Identity,"First, two-th, three-th",No distributive numerals,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,"From 'finish', 'already'",NA,NA,NA,NA,NA,NA,NA,NA,Indirect only,Separate particle,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Different,Different,NA,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NA,NA,afr,Afrikaans,af
alt,48.5,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NA,NA,gsw,Alemannic,als
amh,10,38,Moderately large,Large (7-14),Moderately high,In plosives alone,None missing in /p t k b d g/,None,Ejectives only,"/l/, no obstruent laterals",No velar nasal,NA,None,Moderately complex,No tones,NA,NA,NA,NA,All present,None,NA,NA,NA,NA,NA,NA,Weakly suffixing,Productive full and partial reduplication,NA,NA,Two,Sex-based,Semantic and formal,Plural suffix,NA,Person-number stem,Unique affixal associative plural,Definite word distinct from demonstrative,Indefinite word same as 'one',NA,NA,NA,NA,NA,In 3rd person + 1st and/or 2nd person,NA,NA,Identical,Pronouns only,2 cases,Symmetrical,Case suffixes,NA,NA,Marked by reduplication,Absent,NA,Possessive suffixes,Absent,No possessive classification,NA,NA,Possessive-Accusative,'And' different from 'with',NA,No grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Mixed type,Second singular and second plural,Special imperative + special negative,Neither type of system,NA,Verbal constructions,Verbal constructions,No overlap,NA,NA,NA,NA,SOV,SV,OV,NA,No dominant order,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Relative clause-Noun,NA,NA,Not initial interrogative phrase,Final subordinator word,Other,OV and RelN,OV and AdjN,NA,NA,Accusative,Subject affixes on verb,Both the A and P arguments,No zero realization,A precedes P,Double-object construction,NA,Present,NA,NA,NA,Morphological but no compound,Double negation,NA,NA,NA,Mixture of previous two types,Locational,Nonverbal encoding,Identical,Impossible,Locational,NA,NA,NA,NA,NA,NA,NA,Identical,Different,Decimal,NA,NA,NA,NA,No M-T pronouns,No N-M pronouns,Words derived from Sinitic cha,NA,NA,NA,NA,ObligDoubleNeg,ObligDoubleNeg,amh,Amharic,am
arm,40,45,Moderately large,Average (5-6),Moderately high,In fricatives alone,Other,Uvular continuants only,Ejectives only,"/l/, no obstruent laterals",No velar nasal,Contrast absent,None,NA,No tones,No fixed stress,Unbounded: Stress can be anywhere,Prominence,Undetermined,All present,None,NA,NA,2-3 categories per word,NA,NA,NA,Strongly suffixing,Full reduplication only,Core and non-core,Not syncretic,None,No gender,No gender,Plural suffix,"All nouns, always obligatory",Person-number stem + pronominal plural affix,No associative plural,Definite affix,Indefinite word distinct from 'one',No inclusive/exclusive,No inclusive/exclusive,NA,NA,Related to remote demonstratives,No gender distinctions,Binary politeness distinction,NA,Identical,No person marking,5 cases,Additive-quantitatively asymmetrical,Case suffixes,Differentiation,"First, two-th, three-th",Marked by mixed or other strategies,Absent,Formally different,Possessive suffixes,Absent,No possessive classification,NA,NA,Possessive-Accusative,'And' different from 'with',NA,Grammatical marking,"Present, no remoteness distinctions",No inflectional future,Other perfect,Tense-aspect suffixes,Second singular and second plural,Normal imperative + special negative,Neither type of system,Inflectional optative absent,Verbal constructions,Other,Overlap for either possibility or necessity,NA,NA,Tense and aspect,None,No dominant order,SV,No dominant order,No dominant order,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Mixed,Degree word-Adjective,No question particle,Not initial interrogative phrase,Initial subordinator word,Other,Other,Other,Nominative - accusative (standard),Nominative - accusative (standard),Accusative,Subject affixes on verb,Only the A argument,Zero in all 3sg forms,A and P do not or do not both occur on the verb,NA,NA,Present,No antipassive,No applicative construction,Purposive but no sequential,Morphological but no compound,Variation between negative word and affix,Both,A/Fin,NA,Interrogative intonation only,Genitive,Nonverbal encoding,Identical,Impossible,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Decimal,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,Type 1 / Type 3,More than one position,hye,Armenian,hy
arw,38.5,43.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,Full reduplication only,NA,NA,NA,NA,NA,Plural suffix,NA,NA,NA,Definite affix,Indefinite word distinct from 'one',NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Case suffixes,NA,"First, two-th, three-th",NA,NA,NA,Possessive suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,Indirect only,Part of the tense system,NA,NA,SOV,SV,OV,No dominant order,Postpositions,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,Numeral-Noun,Noun-Relative clause,Degree word-Adjective,No question particle,Not initial interrogative phrase,Initial subordinator word,OV and Postpositions,OV and NRel,OV and AdjN,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative auxiliary verb,NA,NA,NA,Interrogative intonation only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Identical,Different,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Type 1 / Type 3,More than one position,hye,Armenian,hy
arz,32.6666666667,51.6666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Optional,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,hye,Armenian,hy
ass,26,93,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Strongly suffixing,Productive full and partial reduplication,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Interrogative-based,NA,NA,NA,NA,Case suffixes,NA,NA,Marked by reduplication,Obligatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense-aspect suffixes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,SOV,SV,OV,NA,NA,Genitive-Noun,Adjective-Noun,Demonstrative-Noun,No dominant order,NA,NA,No question particle,Not initial interrogative phrase,NA,NA,NA,OV and AdjN,NA,NA,NA,Subject affixes on verb,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative affix,NA,NA,Predicate negation also present,Interrogative verb morphology,NA,NA,NA,NA,NA,NA,NA,Subject is left implicit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,NA,[Neg-V],MorphNeg,asm,Assamese,as
ast,43.25,-6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Min Nan Chinese te,NA,NA,NA,NA,NA,NA,ast,Asturian,ast
ben,24,90,Moderately large,Large (7-14),Average,In plosives alone,None missing in /p t k b d g/,None,No glottalized consonants,"/l/, no obstruent laterals",NA,NA,None,Complex,No tones,Initial,Fixed stress (no weight-sensitivity),No weight,No rhythmic stress,All present,None,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Unique affixal associative plural,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Identical,NA,NA,NA,Case suffixes,NA,"First, two-th, three-th",Marked by reduplication,Obligatory,NA,NA,NA,NA,NA,NA,NA,NA,NA,No grammatical marking,"Present, no remoteness distinctions",Inflectional future exists,Other perfect,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Tense and aspect,None,SOV,SV,OV,XOV,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative particle,NA,NA,NA,NA,Genitive,Nonverbal encoding,Identical,Possible,NA,NA,NA,Subject is left implicit,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Words derived from Sinitic cha,NA,NA,NA,Logical meanings,VNeg,SOVNeg,ben,Bengali,bn
