"","language","Slope1","Slope2","Slope3","Slope4","Slope5"
"1","Basque",-0.0238880055814654,0.000500853532344064,0.00159408285774429,-0.00160879206368054,0.00199772898593848
"2","Dutch",0.0117620229111637,0.000153382898782504,-0.00119313720843707,-0.00424125479645852,0.0295062302687862
"3","Alemannic",0.00959682268693137,0.00083282995310319,-0.000891391639321022,-0.000938174513210908,0.0181564527643213
"4","Wolof",-0.00221711527072978,0.000506890718368814,-0.00158892070434825,-7.70862708156389e-06,0.00617867530506052
"5","Bosnian",-0.0022197795767828,-0.000682628518027101,-0.000949456197258901,0.000256322389476411,0.0231779587075951
"6","Hindi",0.00328024885158011,0.00135806502952766,0.000697041145234628,-0.00107827269422255,0.00678608255211003
"7","Aymara",-0.0103194295475305,-0.00425707770509009,-0.00132960376941836,-0.00808653257623279,-0.00157690367489462
"8","Russian",0.00111266698691167,-0.00213142442557477,-0.00244270432540613,8.4063632654829e-05,0.0206490642952488
"9","Urdu",-0.00290319494382526,0.000261366410677996,0.000710984135422715,0.000234422552014807,0.0111563325627765
"10","Swedish",-0.0142018935526693,0.00735553498401367,-0.00388341139232298,-0.0103043150566872,0.0406182326148428
"11","Afrikaans",0.00959592582343407,-0.000292902034240662,-0.000740746804202158,-0.00128234920657458,0.0262096108568531
"12","Anglo-Saxon",-0.00811528520521921,-0.0037537081819041,0.000153229601545439,-0.00217446031822012,0.015078000184633
"13","Icelandic",-0.000751228065957099,-0.00116031068907818,-0.000954409321132809,-0.000465593295652518,0.00925631753558214
"14","Belarusian",-4.36590414543353e-05,-0.00146787861835631,0.000880519402212953,-0.00127108472633556,0.0220911210395215
"15","Bulgarian",0.000623808718474696,-0.00100141562627232,-0.00215301250218775,-0.0014105945705865,0.0243376329905265
"16","Croatian",-0.00208245427118946,0.000403083298529615,-0.000428507425537468,-0.00152787647703655,0.024242795186303
"17","Macedonian",-0.00265369302547331,-0.000553884359813319,-0.000452681918262141,-0.000392353085980324,0.0286098698105341
"18","Serbo-Croatian",-0.0108074693090926,0.00388991134401904,0.00191057791142463,-0.0110934936139856,0.0309053648527757
"19","Ukrainian",-0.000279725162465958,-0.00127775114228732,-0.00108077396195295,-0.000715230436891759,0.0235520648295822
"20","Vietnamese",0.00894209709573839,0.000358726816993456,1.46037259271471e-05,-0.00016495405812747,0.00516588226717045
"21","Pangasinan",-0.0121990771289033,-0.00300698987002191,0.00131660896208706,-0.00355507663599209,-0.00756663417781783
"22","Kapampangan",-0.00986350378157222,0.000652383533793427,-0.00135220355954083,-0.00245429203498142,0.0268781705224692
"23","Amharic",-0.0020173265237992,0.00108594357244711,-0.00093558553676376,-0.00323204116498183,-0.0190684353282817
