"","Language","Slope1","Slope2","Slope3","Slope4","Slope5"
"1","“test”","0","0","0","0","0"
"2","Basque","-0.0238880055814654","0.000500853532344064","0.00159408285774429","-0.00160879206368054","0.00199772898593848"
"3","Dutch","0.0117620229111637","0.000153382898782504","-0.00119313720843707","-0.00424125479645852","0.0295062302687862"
"4","Alemannic","0.00959682268693137","0.00083282995310319","-0.000891391639321022","-0.000938174513210908","0.0181564527643213"
"5","Wolof","-0.00221711527072978","0.000506890718368814","-0.00158892070434825","-7.70862708156389e-06","0.00617867530506052"
"6","Bosnian","-0.0022197795767828","-0.000682628518027101","-0.000949456197258901","0.000256322389476411","0.0231779587075951"
"7","Hindi","0.00328024885158011","0.00135806502952766","0.000697041145234628","-0.00107827269422255","0.00678608255211003"
"8","Aymara","-0.0103194295475305","-0.00425707770509009","-0.00132960376941836","-0.00808653257623279","-0.00157690367489462"
"9","Russian","0.00111266698691167","-0.00213142442557477","-0.00244270432540613","8.4063632654829e-05","0.0206490642952488"
"10","Urdu","-0.00290319494382526","0.000261366410677996","0.000710984135422715","0.000234422552014807","0.0111563325627765"
"11","Swedish","-0.0142018935526693","0.00735553498401367","-0.00388341139232298","-0.0103043150566872","0.0406182326148428"
"12","Afrikaans","0.00959592582343407","-0.000292902034240662","-0.000740746804202158","-0.00128234920657458","0.0262096108568531"
"13","Anglo-Saxon","-0.00811528520521921","-0.0037537081819041","0.000153229601545439","-0.00217446031822012","0.015078000184633"
"14","Icelandic","-0.000751228065957099","-0.00116031068907818","-0.000954409321132809","-0.000465593295652518","0.00925631753558214"
"15","Belarusian","-4.36590414543353e-05","-0.00146787861835631","0.000880519402212953","-0.00127108472633556","0.0220911210395215"
"16","Bulgarian","0.000623808718474696","-0.00100141562627232","-0.00215301250218775","-0.0014105945705865","0.0243376329905265"
"17","Croatian","-0.00208245427118946","0.000403083298529615","-0.000428507425537468","-0.00152787647703655","0.024242795186303"
"18","Macedonian","-0.00265369302547331","-0.000553884359813319","-0.000452681918262141","-0.000392353085980324","0.0286098698105341"
"19","Serbo-Croatian","-0.0108074693090926","0.00388991134401904","0.00191057791142463","-0.0110934936139856","0.0309053648527757"
"20","Ukrainian","-0.000279725162465958","-0.00127775114228732","-0.00108077396195295","-0.000715230436891759","0.0235520648295822"
"21","Vietnamese","0.00894209709573839","0.000358726816993456","1.46037259271471e-05","-0.00016495405812747","0.00516588226717045"
"22","Pangasinan","-0.0121990771289033","-0.00300698987002191","0.00131660896208706","-0.00355507663599209","-0.00756663417781783"
"23","Kapampangan","-0.00986350378157222","0.000652383533793427","-0.00135220355954083","-0.00245429203498142","0.0268781705224692"
"24","Amharic","-0.0020173265237992","0.00108594357244711","-0.00093558553676376","-0.00323204116498183","-0.0190684353282817"
"25","Armenian","-0.00512480880602282","0.000640706563811317","0.000636631037043993","-0.000686269503100089","-0.0115055065345933"
"26","Bashkir","-0.00375259042264032","-0.00090528149038722","0.00153513620133162","0.00138143865079783","0.0116599199325215"
"27","Bhojpuri","0.00470025492744067","0.00263889086709154","-0.00334617422688364","-0.0032671695926938","0.0127834490560385"
"28","Breton","0.000624881773650787","0.0011236503418087","-0.00136574601086189","-0.000888589038570189","0.019215397355946"
"29","Burmese","0.00205116492191872","0.000363869811132841","-0.000842537012916913","0.000972926061769401","0.0165272450081476"
"30","Catalan","0.0179652060227685","-0.000270437717308927","-0.000522737519878733","-7.29992163691605e-05","0.0198140990289379"
